YearofManufacture,Brand,CarName,KilometersDriven,FuelType,Transmission,Price,Location,PricePerKm
2019,Maruti, New Wagon-R VXI 1.2,11829,Petrol,Manual,467000,"Goregaon, Mumbai",39.47924592104151
2020,Maruti, Ciaz ALPHA  AT 1.5 SHVS PETROL,31176,Petrol,Automatic,878999,"Mulund West, Mumbai",28.194733128047215
2020,Maruti, S Cross ALPHA AT SMART HYBRID,29624,Petrol,Automatic,1006000,"Mulund West, Mumbai",33.958952200918176
2020,Maruti, Ciaz ALPHA  AT 1.5 SHVS PETROL,23697,Petrol,Automatic,886000,"Goregaon, Mumbai",37.388698991433515
2020,Maruti, New Wagon-R VXI 1.2,20785,Petrol,Manual,516000,"Goregaon, Mumbai",24.82559538128458
2021,Maruti, XL6 ALPHA MT,48740,Petrol,Manual,1027000,"Goregaon, Mumbai",21.070988920804268
2021,Maruti, Baleno ZETA PETROL 1.2,14955,Petrol,Manual,716000,Seawoo,47.87696422601137
2021,Maruti, New Wagon-R ZXI 1.2 AMT,26550,Petrol,Automatic,613000,"Mulund West, Mumbai",23.088512241054612
2021,Maruti, Alto LXI,26866,Petrol,Manual,363000,"Mulund West, Mumbai",13.51150152609246
2021,Maruti, S PRESSO VXI+,12655,Petrol,Manual,405000,"Goregaon, Mumbai",32.00316080600553
2021,Maruti, Ciaz SIGMA 1.5 SHVS MT  PETROL,16909,Petrol,Manual,763000,Seawoo,45.12389851558342
2021,Maruti, New Wagon-R VXI 1.2,18693,Petrol,Manual,536000,"Mulund West, Mumbai",28.67383512544803
2021,Maruti, New Wagon-R LXI CNG 1.0,30981,CNG,Manual,562000,"Mulund West, Mumbai",18.140150414770343
2021,Maruti, New Wagon-R LXI CNG 1.0,23233,CNG,Manual,562000,"Mulund West, Mumbai",24.189730125252872
2021,Maruti, New Wagon-R VXI (O) 1.2,19528,Petrol,Manual,516000,"Goregaon, Mumbai",26.423596886521917
2021,Maruti, Ciaz DELTA 1.5 SHVS MT PETROL,30926,Petrol,Manual,777000,"Goregaon, Mumbai",25.124490719782706
2021,Maruti, New Wagon-R LXI CNG (O) 1.0,36188,CNG,Manual,582000,"Mulund West, Mumbai",16.082679341218082
2022,Maruti, New Wagon-R VXI 1.0 AMT,28720,Petrol,Automatic,674000,"Mulund West, Mumbai",23.467966573816156
2022,Maruti, BREZZA ZXI SMART HYBRID ,18859,Petrol,Manual,1138000,"Goregaon, Mumbai",60.342542022376584
2022,Maruti, Ertiga ZXI (O) CNG,20619,CNG,Manual,1192000,"Mulund West, Mumbai",57.81075706872302
2022,Maruti, BREZZA ZXI SMART HYBRID ,5377,Petrol,Manual,1159000,"Goregaon, Mumbai",215.547703180212
2022,Maruti, S PRESSO VXI (O) CNG,31772,CNG,Manual,488000,Seawoo,15.359435981367241
2022,Maruti, S PRESSO VXI+,10815,Petrol,Manual,476000,"Goregaon, Mumbai",44.01294498381877
2023,Maruti, New Wagon-R LXI 1.0,1958,Petrol,Manual,589000,"Goregaon, Mumbai",300.8171603677222
2023,Maruti, IGNIS SIGMA 1.2,4684,Petrol,Manual,533000,"Goregaon, Mumbai",113.79163108454313
2023,Maruti, BREZZA ZXI SMART HYBRID ,10234,Petrol,Manual,1231000,"Goregaon, Mumbai",120.28532343169826
2021,Nissan, MAGNITE XV PREMIUM,47127,Petrol,Manual,628000,"Mulund West, Mumbai",13.325694400237655
2022,Nissan, MAGNITE XL TURBO CVT,15037,Petrol,Automatic,800000,"Goregaon, Mumbai",53.202101483008576
2016,Renault, Kwid RXT 0.8 (O),30279,Petrol,Manual,267000,"Mulund West, Mumbai",8.817992668185871
2016,Renault, Kwid RXT 0.8,26172,Petrol,Manual,254000,"Goregaon, Mumbai",9.705028274491823
2016,Renault, Kwid RXT 0.8 (O),103116,Petrol,Manual,279000,"Mulund West, Mumbai",2.705690678459211
2016,Renault, Kwid RXT 1.0,45919,Petrol,Manual,295000,"Goregaon, Mumbai",6.42435593109606
2017,Renault, Kwid RXT 0.8,30322,Petrol,Manual,307000,"Goregaon, Mumbai",10.12466196161203
2017,Renault, Kwid RXT 0.8,37515,Petrol,Manual,290000,"Goregaon, Mumbai",7.730241236838598
2018,Renault, Duster 85 PS RXZ DIESEL,23337,Diesel,Manual,780000,"Mulund West, Mumbai",33.42331919269829
